"country","mean","se","l","u","age"
"Afghanistan",0.0127800158675918,0.0103433594756081,0.0028163371556455,0.0377496469841536,"18-19"
"Albania",0.00602703152861726,0.00462340461858204,0.000913345983338167,0.0180567147192367,"18-19"
"Algeria",0.0139370944328441,0.0110134543306874,0.00340426687013584,0.0412569853760757,"18-19"
"American Samoa",0.0856810849530049,0.0775906097168514,0.0100664321007275,0.296974122591167,"18-19"
"Andorra",0.00639010307356975,0.00473930713968349,0.00101553928959029,0.0186858790052883,"18-19"
"Angola",0.00780122308589686,0.00824601374729062,0.00104667081553779,0.0256268936176892,"18-19"
"Antigua and Barbuda",0.0101929604927341,0.00966122836665337,0.00139057739948923,0.035517131845275,"18-19"
"Argentina",0.00937592741983465,0.007425072258066,0.00168346347566822,0.0286601497445453,"18-19"
"Armenia",0.0115155884531236,0.00879253786813571,0.00235862824068662,0.0336919263680304,"18-19"
"Australia",0.00438105345070555,0.00281257232171936,0.000718348768433715,0.0114027629485391,"18-19"
"Austria",0.00341531854184886,0.00258730246785924,0.00037140842733338,0.00974371407971985,"18-19"
"Azerbaijan",0.0130119578530641,0.0104765642131729,0.00265752674714755,0.0413933967089839,"18-19"
"Bahamas",0.0118448286908482,0.00989300080654681,0.00197765361490825,0.0368234103746762,"18-19"
"Bahrain",0.0131447967075512,0.00998893852014212,0.00305204037239846,0.0410528987181323,"18-19"
"Bangladesh",0.01042385342077,0.00827279343577019,0.00235345914694206,0.0293508763043962,"18-19"
"Barbados",0.0106073382626281,0.00951833669061455,0.00167337281531462,0.0333010045100274,"18-19"
"Belarus",0.00670546233855318,0.00616849704792146,0.000850491825273852,0.0228110925670737,"18-19"
"Belgium",0.00344311092818261,0.00255765827025758,0.000422781131872209,0.00944847281789967,"18-19"
"Belize",0.0098287214921377,0.00783315696434236,0.00162328838627791,0.0298464356407037,"18-19"
"Benin",0.00569250273850305,0.00437560310457679,0.000942902923840761,0.0156995812176789,"18-19"
"Bermuda",0.0189156776624186,0.0183132698801725,0.00321125251426132,0.065833098738409,"18-19"
"Bhutan",0.012726492658379,0.00919792777171623,0.00289366535823026,0.0366540355470969,"18-19"
"Bolivia",0.00551303463714799,0.00507253161954019,0.000612049078034777,0.0178196198044839,"18-19"
"Bosnia and Herzegovina",0.0060736465757471,0.00471424340094464,0.00100081588958706,0.0176898446976409,"18-19"
"Botswana",0.00585498166184741,0.00421570674752569,0.00102085146879631,0.0164252059226339,"18-19"
"Brazil",0.0061374442725764,0.00487184061751076,0.001088416936948,0.0186066663754673,"18-19"
"Brunei Darussalam",0.00808211485930518,0.00621853357407588,0.00135148159751442,0.0243092558928848,"18-19"
"Bulgaria",0.00711446000091721,0.00547697285067845,0.00116689492154461,0.0217738658799652,"18-19"
"Burkina Faso",0.00577378550333418,0.00435673671006593,0.000855086839113624,0.017108436347391,"18-19"
"Burundi",0.00243884855849392,0.00212419774968879,0.000173368626539574,0.00777533259518018,"18-19"
"Cabo Verde",0.00820105358424279,0.00708592862693251,0.00141783515358553,0.0246835837244654,"18-19"
"Cambodia",0.00578783932598144,0.00428384198231219,0.00102165245496075,0.0169408161728638,"18-19"
"Cameroon",0.00495464732909593,0.0038685873475268,0.000689491152719269,0.0143676681311807,"18-19"
"Canada",0.00416811436226957,0.00313717838344156,0.000635175884707799,0.0114540549323554,"18-19"
"Central African Republic",0.00711773443982907,0.00826730375709902,0.000877777162881958,0.0244573653642523,"18-19"
"Chad",0.00662048428047747,0.00613237119202711,0.00103928556737655,0.0208737482096785,"18-19"
"Chile",0.00922649615014055,0.00738919484324396,0.00180102793665825,0.0280040347385884,"18-19"
"China",0.00963026360804472,0.00688355866222307,0.00231671232932365,0.0274482299033183,"18-19"
"China (Hong Kong SAR)",0.00868049241950238,0.00913697788670285,0.00083382712228535,0.0313199466734912,"18-19"
"Colombia",0.00707377508073702,0.00572005671171688,0.00125600907297865,0.0212077675963025,"18-19"
"Comoros",0.00638016984233097,0.00470750765274083,0.00110842696079715,0.0188264637447167,"18-19"
"Congo",0.00653755378605763,0.00704597922278809,0.000692814852529869,0.023001502640976,"18-19"
"Cook Islands",0.0734639564936658,0.0657031371952515,0.00929378520646087,0.251452467588077,"18-19"
"Costa Rica",0.00781655678347387,0.006501539758583,0.00130443493260914,0.0241223085666833,"18-19"
"Cote d'Ivoire",0.00570108064449174,0.00506655492826757,0.000922656582342044,0.0170261976796866,"18-19"
"Croatia",0.00708686349980602,0.00570564913640402,0.00118623386312634,0.0217519202159666,"18-19"
"Cuba",0.0054862775361213,0.0042990981673096,0.000710151251725891,0.0169838919513581,"18-19"
"Cyprus",0.00679569857363136,0.00509369153077727,0.00108047197229759,0.0202615225584499,"18-19"
"Czech Republic",0.00685132681043815,0.00541465266853526,0.00111098819111207,0.0202374520393806,"18-19"
"Denmark",0.00326778833666724,0.00240264333885607,0.000383177776027384,0.0093409724865548,"18-19"
"Djibouti",0.0073494252539931,0.00628878805470172,0.00103728347880612,0.0229605547955146,"18-19"
"Dominica",0.00726450554206028,0.00591640402200447,0.00110215593759141,0.0217814452109753,"18-19"
"Dominican Republic",0.00750136595086793,0.00649635471582958,0.00114756961028119,0.0237794569040481,"18-19"
"DR Congo",0.00464430069973386,0.00509837013972173,0.000417420388670098,0.0161552293002771,"18-19"
"Ecuador",0.00607451447566075,0.00531898533448816,0.000725874094102757,0.0202822405221543,"18-19"
"Egypt",0.0247815698547215,0.0196189009189996,0.00555032953513698,0.0762934244376646,"18-19"
"El Salvador",0.00842826767045607,0.00711767885685669,0.00146044917089264,0.0264561693520091,"18-19"
"Equatorial Guinea",0.00941101009559865,0.010054816554846,0.00124555807596167,0.0326521066394138,"18-19"
"Eritrea",0.0040841565526437,0.00326114994838314,0.000507814721865464,0.012365809202691,"18-19"
"Estonia",0.00627873181925575,0.00561448457743221,0.000791116139029454,0.0199214369831539,"18-19"
"Ethiopia",0.00387264611951389,0.00320981726550304,0.000419900799975328,0.0116155844124203,"18-19"
